Name,Gender,Grade,Math,Science,English,Total,score,grade
Reyansh,Female,3,30.0,89.0,38.0,157,52.333333333333336,C
Diya,1,5,32.0,20.0,67.0,119,39.666666666666664,F
Aarav,Female,8,78.0,71.0,61.0,210,70.0,C
Aditi,Male,1,83.0,95.0,53.0,231,77.0,B
Zara,1,2,47.0,17.0,27.0,91,30.333333333333332,F
Ishaan,Male,12,84.0,71.0,24.0,179,59.666666666666664,C
Ananya,Female,5,99.0,2.0,81.0,182,60.666666666666664,C
Aryan,Male,10,62.0,76.0,25.0,163,54.333333333333336,C
Myra,Male,1,67.0,35.0,71.0,173,57.666666666666664,C
Ishaan,Male,4,10.0,23.0,79.0,112,37.333333333333336,F
Ishaan,Male,10,68.0,88.0,32.0,188,62.666666666666664,C
Aditi,Male,9,79.0,27.0,97.0,203,67.66666666666667,C
Ananya,Male,7,88.0,15.0,88.0,191,63.666666666666664,C
Arjun,Female,5,89.0,27.0,97.0,213,71.0,C
Krishna,Male,11,8.0,92.0,38.0,138,46.0,F
Aarav,Male,11,56.0,26.0,30.0,112,37.333333333333336,F
Aarav,Female,8,84.0,100.0,41.0,225,75.0,B
Shaurya,Female,6,82.0,29.0,32.0,143,47.666666666666664,F
Saanvi,Male,12,57.0,31.0,40.0,128,42.666666666666664,F
Reyansh,Female,1,14.0,5.0,3.0,22,7.333333333333333,F
Krishna,Female,2,94.0,26.0,92.0,212,70.66666666666667,C
Shaurya,Female,11,82.0,16.0,33.0,131,43.666666666666664,F
Kabir,Male,8,89.0,8.0,82.0,179,59.666666666666664,C
Aditi,1,3,1.0,26.0,17.0,44,14.666666666666666,F
Kabir,Male,5,21.0,52.0,84.0,157,52.333333333333336,C
Aditi,Male,2,52.0,59.0,9.0,120,40.0,F
Myra,Female,9,32.0,94.0,91.0,217,72.33333333333333,C
Ananya,Male,6,3.0,92.0,44.0,139,46.333333333333336,F
Vihaan,Male,9,44.0,40.0,76.0,160,53.333333333333336,C
Aryan,Female,2,85.0,44.0,80.0,209,69.66666666666667,C
Kabir,Female,8,70.0,20.0,58.0,148,49.333333333333336,F
Reyansh,Male,3,86.0,41.0,0.0,127,42.333333333333336,F
Reyansh,Male,5,18.0,70.0,20.0,108,36.0,F
Saanvi,Female,12,62.0,16.0,42.0,120,40.0,F
Rohan,Female,6,17.0,6.0,73.0,96,32.0,F
Arjun,1,6,16.0,62.0,70.0,148,49.333333333333336,F
Reyansh,Female,12,70.0,92.0,59.0,221,73.66666666666667,C
Kabir,Female,2,46.0,57.0,67.0,170,56.666666666666664,C
Ananya,Male,10,39.0,96.0,58.0,193,64.33333333333333,C
Shaurya,Male,10,63.0,31.0,35.0,129,43.0,F
Diya,Female,1,22.0,79.0,91.0,192,64.0,C
Zara,Female,6,53.0,8.0,72.0,133,44.333333333333336,F
Diya,Male,9,17.0,16.0,46.0,79,26.333333333333332,F
Aarav,Female,6,50.0,72.0,39.0,161,53.666666666666664,C
Advika,Female,6,41.0,11.0,85.0,137,45.666666666666664,F
Aarav,Female,8,27.0,25.0,59.0,111,37.0,F
Aarav,Male,9,36.0,52.0,86.0,174,58.0,C
Isha,Male,12,96.0,22.0,15.0,133,44.333333333333336,F
Aarav,Male,8,56.0,31.0,11.0,98,32.666666666666664,F
Aditi,Male,6,38.0,93.0,45.0,176,58.666666666666664,C
Reyansh,Female,8,8.0,38.0,66.0,112,37.333333333333336,F
Krishna,Female,9,18.0,93.0,21.0,132,44.0,F
Aarav,Male,7,8.0,9.0,60.0,77,25.666666666666668,F
Advika,Female,3,72.0,38.0,10.0,120,40.0,F
Saanvi,Female,9,88.0,72.0,47.0,207,69.0,C
Navya,Male,7,28.0,76.0,93.0,197,65.66666666666667,C
Aditi,Male,10,93.0,77.0,74.0,244,81.33333333333333,B
Myra,Male,2,50.0,1.0,82.0,133,44.333333333333336,F
Shaurya,Female,8,25.0,98.0,17.0,140,46.666666666666664,F
Saanvi,Male,2,95.0,18.0,15.0,128,42.666666666666664,F
Zara,Male,11,100.0,38.0,44.0,182,60.666666666666664,C
Vihaan,Female,11,4.0,4.0,33.0,41,13.666666666666666,F
Rohan,1,8,50.0,50.0,29.0,129,43.0,F
Ishaan,Female,11,51.0,80.0,9.0,140,46.666666666666664,F
Navya,Female,11,36.0,38.0,40.0,114,38.0,F
Kabir,Female,11,82.0,34.0,21.0,137,45.666666666666664,F
Ishaan,Female,7,28.0,50.0,53.0,131,43.666666666666664,F
Diya,Male,11,97.0,97.0,51.0,245,81.66666666666667,B
Navya,Male,10,25.0,66.0,83.0,174,58.0,C
Anika,Female,4,67.0,8.0,59.0,134,44.666666666666664,F
Aarav,1,10,4.0,55.0,34.0,93,31.0,F
Vihaan,Female,1,41.0,30.0,84.0,155,51.666666666666664,C
Arjun,Male,5,24.0,56.0,9.0,89,29.666666666666668,F
Ananya,1,10,10.0,94.0,2.0,106,35.333333333333336,F
Shaurya,Female,1,94.0,5.0,44.0,143,47.666666666666664,F
Anika,Female,5,32.0,56.0,41.0,129,43.0,F
Shaurya,Female,7,23.0,53.0,48.0,124,41.333333333333336,F
Saanvi,Male,1,65.0,44.0,28.0,137,45.666666666666664,F
Aryan,Female,3,31.0,86.0,35.0,152,50.666666666666664,C
Reyansh,Male,1,8.0,78.0,30.0,116,38.666666666666664,F
Aarav,Male,8,58.0,50.0,38.0,146,48.666666666666664,F
Saanvi,Male,4,6.0,24.0,44.0,74,24.666666666666668,F
Aarav,Female,8,99.0,50.0,40.0,189,63.0,C
Zara,Female,4,61.0,98.0,76.0,235,78.33333333333333,B
Aditi,Female,6,32.0,25.0,27.0,84,28.0,F
Advika,Female,11,73.0,39.0,3.0,115,38.333333333333336,F
Vihaan,Male,5,100.0,67.0,41.0,208,69.33333333333333,C
Kabir,Male,12,98.0,21.0,37.0,156,52.0,C
Advika,Male,9,74.0,64.0,72.0,210,70.0,C
Diya,Female,11,93.0,88.0,29.0,210,70.0,C
Ishaan,Female,4,94.0,16.0,87.0,197,65.66666666666667,C
Anika,Male,9,88.0,23.0,72.0,183,61.0,C
Advika,Female,8,10.0,32.0,62.0,104,34.666666666666664,F
Ananya,1,7,73.0,52.0,17.0,142,47.333333333333336,F
Myra,Female,2,17.0,92.0,74.0,183,61.0,C
Aryan,Male,1,83.0,95.0,41.0,219,73.0,C
Advika,Male,3,88.0,79.0,30.0,197,65.66666666666667,C
Aditi,Female,11,85.0,40.0,15.0,140,46.666666666666664,F
Advika,Female,11,75.0,25.0,69.0,169,56.333333333333336,C
Kabir,Female,10,24.0,51.0,100.0,175,58.333333333333336,C
Aryan,Male,1,87.0,61.0,97.0,245,81.66666666666667,B
Saanvi,Female,1,79.0,61.0,17.0,157,52.333333333333336,C
Ananya,Female,2,48.0,2.0,75.0,125,41.666666666666664,F
Aarav,Male,5,96.0,8.0,98.0,202,67.33333333333333,C
Vihaan,Male,3,18.0,50.0,3.0,71,23.666666666666668,F
Anika,Male,5,83.0,70.0,58.0,211,70.33333333333333,C
Aarav,Female,6,31.0,56.0,99.0,186,62.0,C
Aditi,Male,12,18.0,81.0,57.0,156,52.0,C
Aarav,Male,2,51.0,24.0,34.0,109,36.333333333333336,F
Myra,Male,12,70.0,99.0,31.0,200,66.66666666666667,C
Ananya,Female,3,63.0,91.0,55.0,209,69.66666666666667,C
Saanvi,Male,5,31.0,98.0,59.0,188,62.666666666666664,C
Aryan,Female,7,55.0,93.0,64.0,212,70.66666666666667,C
Ishaan,Female,10,69.0,90.0,92.0,251,83.66666666666667,B
Aditi,Female,8,8.0,22.0,84.0,114,38.0,F
Advika,Male,3,39.0,86.0,3.0,128,42.666666666666664,F
Zara,Male,10,27.0,69.0,63.0,159,53.0,C
Saanvi,Male,2,75.0,16.0,74.0,165,55.0,C
Aarav,Female,3,50.0,31.0,70.0,151,50.333333333333336,C
Krishna,Female,4,91.0,11.0,14.0,116,38.666666666666664,F
Ishaan,Male,1,80.0,67.0,12.0,159,53.0,C
Aryan,Male,12,79.0,87.0,98.0,264,88.0,B
Krishna,Male,5,26.0,95.0,40.0,161,53.666666666666664,C
Ananya,Male,7,73.0,67.0,73.0,213,71.0,C
Shaurya,Male,9,97.0,49.0,43.0,189,63.0,C
Aditi,Male,9,15.0,53.0,100.0,168,56.0,C
Anika,Male,2,74.0,69.0,97.0,240,80.0,B
Myra,1,10,95.0,62.0,4.0,161,53.666666666666664,C
Arjun,Male,3,38.0,14.0,97.0,149,49.666666666666664,F
Ishaan,Male,11,100.0,63.0,4.0,167,55.666666666666664,C
Arjun,Male,8,15.0,2.0,100.0,117,39.0,F
Ananya,Female,12,82.0,90.0,30.0,202,67.33333333333333,C
Diya,Female,2,67.0,2.0,76.0,145,48.333333333333336,F
Kabir,Male,9,41.0,53.0,71.0,165,55.0,C
Reyansh,Female,8,51.0,23.0,59.0,133,44.333333333333336,F
Arjun,Female,3,77.0,10.0,55.0,142,47.333333333333336,F
Isha,Male,4,56.0,77.0,11.0,144,48.0,F
Aarav,Female,2,66.0,97.0,11.0,174,58.0,C
Isha,Female,5,60.0,22.0,34.0,116,38.666666666666664,F
Aryan,Male,1,48.0,47.0,97.0,192,64.0,C
Aarav,Female,4,31.0,7.0,1.0,39,13.0,F
Rohan,Male,1,10.0,9.0,57.0,76,25.333333333333332,F
Advika,1,10,22.0,79.0,24.0,125,41.666666666666664,F
Reyansh,1,9,44.0,73.0,79.0,196,65.33333333333333,C
Vihaan,Female,9,20.0,60.0,54.0,134,44.666666666666664,F
Shaurya,Male,3,27.0,3.0,13.0,43,14.333333333333334,F
Myra,Female,1,31.0,73.0,67.0,171,57.0,C
Isha,Male,12,23.0,99.0,92.0,214,71.33333333333333,C
Zara,Female,12,5.0,100.0,16.0,121,40.333333333333336,F
Aditi,Male,3,100.0,29.0,83.0,212,70.66666666666667,C
Myra,Female,1,99.0,66.0,61.0,226,75.33333333333333,B
Aryan,Female,7,48.0,3.0,83.0,134,44.666666666666664,F
Aryan,Female,9,78.0,12.0,48.0,138,46.0,F
Ishaan,Female,2,74.0,52.0,97.0,223,74.33333333333333,C
Krishna,Male,10,20.0,47.0,3.0,70,23.333333333333332,F
Anika,Male,5,43.0,98.0,66.0,207,69.0,C
Saanvi,Male,2,2.0,37.0,79.0,118,39.333333333333336,F
Krishna,1,3,64.0,68.0,37.0,169,56.333333333333336,C
Ananya,Male,6,1.0,60.0,92.0,153,51.0,C
Vihaan,Male,1,94.0,64.0,65.0,223,74.33333333333333,C
Arjun,Male,6,65.0,88.0,51.0,204,68.0,C
Ishaan,Male,5,18.0,34.0,7.0,59,19.666666666666668,F
Diya,Female,3,74.0,95.0,50.0,219,73.0,C
Myra,1,5,100.0,25.0,54.0,179,59.666666666666664,C
Advika,Male,5,17.0,75.0,13.0,105,35.0,F
Kabir,Male,6,37.0,83.0,57.0,177,59.0,C
Aditi,Male,12,90.0,90.0,28.0,208,69.33333333333333,C
Myra,Male,9,46.0,56.0,28.0,130,43.333333333333336,F
Aditi,Male,7,66.0,82.0,39.0,187,62.333333333333336,C
Shaurya,Male,7,3.0,23.0,17.0,43,14.333333333333334,F
Saanvi,Female,4,3.0,59.0,14.0,76,25.333333333333332,F
Myra,Male,3,22.0,81.0,66.0,169,56.333333333333336,C
Kabir,Female,3,97.0,4.0,59.0,160,53.333333333333336,C
Advika,Male,5,18.0,82.0,32.0,132,44.0,F
Ananya,Female,12,56.0,56.0,89.0,201,67.0,C
Rohan,Male,6,60.0,56.0,71.0,187,62.333333333333336,C
Aditi,Female,7,73.0,21.0,23.0,117,39.0,F
Shaurya,Female,6,88.0,9.0,67.0,164,54.666666666666664,C
Myra,Female,9,12.0,64.0,5.0,81,27.0,F
Diya,1,2,9.0,9.0,43.0,61,20.333333333333332,F
Navya,Female,3,65.0,31.0,25.0,121,40.333333333333336,F
Zara,Female,9,60.0,48.0,24.0,132,44.0,F
Advika,1,6,35.0,7.0,19.0,61,20.333333333333332,F
Ananya,1,4,89.0,39.0,100.0,228,76.0,B
Isha,Male,3,66.0,90.0,94.0,250,83.33333333333333,B
Ishaan,Female,11,83.0,66.0,36.0,185,61.666666666666664,C
Myra,Male,2,31.0,97.0,29.0,157,52.333333333333336,C
Anika,Female,3,94.0,1.0,41.0,136,45.333333333333336,F
Ananya,Female,3,40.0,89.0,44.0,173,57.666666666666664,C
Myra,Male,11,90.0,17.0,73.0,180,60.0,C
Aarav,Male,7,41.0,45.0,55.0,141,47.0,F
Advika,Male,6,26.0,70.0,75.0,171,57.0,C
Zara,Female,3,23.0,70.0,61.0,154,51.333333333333336,C
Kabir,Male,6,28.0,27.0,100.0,155,51.666666666666664,C
Aarav,Female,5,70.0,70.0,89.0,229,76.33333333333333,B
Shaurya,Female,1,55.0,63.0,49.0,167,55.666666666666664,C
Kabir,Male,12,32.0,28.0,99.0,159,53.0,C
Diya,1,6,27.0,91.0,90.0,208,69.33333333333333,C
Rohan,1,5,43.0,4.0,51.0,98,32.666666666666664,F
Ananya,Male,9,58.0,87.0,98.0,243,81.0,B
Vihaan,Female,12,86.0,46.0,96.0,228,76.0,B
Navya,Male,1,63.0,56.0,62.0,181,60.333333333333336,C
Anika,Male,9,70.0,92.0,91.0,253,84.33333333333333,B
Shaurya,Female,10,38.0,14.0,71.0,123,41.0,F
Aarav,Male,12,69.0,75.0,26.0,170,56.666666666666664,C
Advika,Female,12,91.0,70.0,74.0,235,78.33333333333333,B
Krishna,Female,10,98.0,84.0,97.0,279,93.0,A
Diya,Female,12,63.0,86.0,68.0,217,72.33333333333333,C
Ishaan,Male,9,66.0,5.0,48.0,119,39.666666666666664,F
Aryan,Female,4,87.0,43.0,77.0,207,69.0,C
Advika,Male,9,46.0,54.0,72.0,172,57.333333333333336,C
Isha,Female,9,9.0,63.0,56.0,128,42.666666666666664,F
Vihaan,Female,10,56.0,29.0,15.0,100,33.333333333333336,F
Zara,Female,4,37.0,95.0,35.0,167,55.666666666666664,C
Kabir,Female,3,18.0,59.0,9.0,86,28.666666666666668,F
Aditi,Female,11,45.0,71.0,5.0,121,40.333333333333336,F
Arjun,Female,12,4.0,43.0,80.0,127,42.333333333333336,F
Kabir,Female,7,53.0,2.0,97.0,152,50.666666666666664,C
Navya,Female,4,61.0,80.0,77.0,218,72.66666666666667,C
Aryan,Male,11,21.0,38.0,73.0,132,44.0,F
Navya,Female,6,6.0,13.0,13.0,32,10.666666666666666,F
Anika,Female,8,57.0,69.0,42.0,168,56.0,C
Reyansh,Male,11,52.0,21.0,85.0,158,52.666666666666664,C
Zara,Female,10,94.0,34.0,34.0,162,54.0,C
Rohan,Male,9,39.0,88.0,46.0,173,57.666666666666664,C
Advika,Male,1,51.0,14.0,23.0,88,29.333333333333332,F
Ishaan,Female,8,34.0,1.0,59.0,94,31.333333333333332,F
Kabir,Male,11,29.0,95.0,29.0,153,51.0,C
Krishna,Female,3,50.0,80.0,0.0,130,43.333333333333336,F
Vihaan,Female,4,47.0,41.0,24.0,112,37.333333333333336,F
Aryan,Male,4,96.0,90.0,61.0,247,82.33333333333333,B
Saanvi,Female,12,27.0,84.0,94.0,205,68.33333333333333,C
Diya,Male,5,16.0,34.0,87.0,137,45.666666666666664,F
Vihaan,Male,7,51.0,97.0,31.0,179,59.666666666666664,C
Vihaan,Female,7,53.0,29.0,21.0,103,34.333333333333336,F
Reyansh,Male,1,33.0,36.0,86.0,155,51.666666666666664,C
Arjun,Male,10,57.0,54.0,42.0,153,51.0,C
Reyansh,Female,3,33.0,28.0,36.0,97,32.333333333333336,F
Aarav,1,2,46.0,72.0,44.0,162,54.0,C
Reyansh,Male,7,38.0,8.0,69.0,115,38.333333333333336,F
Anika,Female,12,11.0,49.0,90.0,150,50.0,C
Vihaan,Male,11,68.0,56.0,17.0,141,47.0,F
Aryan,Female,12,28.0,72.0,72.0,172,57.333333333333336,C
Advika,Female,4,55.0,9.0,82.0,146,48.666666666666664,F
Anika,Male,2,77.0,24.0,4.0,105,35.0,F
Isha,Female,6,60.0,80.0,20.0,160,53.333333333333336,C
Rohan,Female,10,62.0,9.0,75.0,146,48.666666666666664,F
Vihaan,Female,6,20.0,94.0,51.0,165,55.0,C
Aditi,Female,4,63.0,59.0,39.0,161,53.666666666666664,C
Aarav,Female,8,89.0,33.0,12.0,134,44.666666666666664,F
Isha,Male,6,0.0,68.0,14.0,82,27.333333333333332,F
Aarav,Female,11,16.0,78.0,71.0,165,55.0,C
Kabir,Female,2,83.0,68.0,5.0,156,52.0,C
Rohan,Male,3,39.0,49.0,6.0,94,31.333333333333332,F
Zara,Male,12,43.0,26.0,94.0,163,54.333333333333336,C
Zara,Female,5,22.0,28.0,13.0,63,21.0,F
Kabir,Male,12,20.0,14.0,66.0,100,33.333333333333336,F
Advika,Female,9,53.0,36.0,8.0,97,32.333333333333336,F
Arjun,Female,11,24.0,55.0,46.0,125,41.666666666666664,F
Rohan,Male,9,42.0,33.0,12.0,87,29.0,F
Krishna,Male,4,37.0,3.0,0.0,40,13.333333333333334,F
Ananya,Female,7,47.0,19.0,63.0,129,43.0,F
Kabir,Male,2,19.0,46.0,43.0,108,36.0,F
Arjun,Male,3,55.0,24.0,84.0,163,54.333333333333336,C
Saanvi,Female,5,23.0,81.0,37.0,141,47.0,F
Aarav,Female,5,82.0,98.0,51.0,231,77.0,B
Arjun,Female,12,14.0,50.0,23.0,87,29.0,F
Aryan,1,6,81.0,79.0,38.0,198,66.0,C
Kabir,Female,9,46.0,48.0,82.0,176,58.666666666666664,C
Isha,Male,9,91.0,73.0,22.0,186,62.0,C
Myra,Female,10,15.0,2.0,12.0,29,9.666666666666666,F
Arjun,Male,1,69.0,85.0,52.0,206,68.66666666666667,C
Myra,Male,7,44.0,12.0,31.0,87,29.0,F
Ishaan,1,10,77.0,87.0,5.0,169,56.333333333333336,C
Saanvi,1,2,77.0,23.0,73.0,173,57.666666666666664,C
Diya,Female,5,55.0,19.0,89.0,163,54.333333333333336,C
Rohan,Male,7,74.0,81.0,22.0,177,59.0,C
Myra,Female,1,73.0,96.0,60.0,229,76.33333333333333,B
Kabir,Male,3,66.0,26.0,64.0,156,52.0,C
Aditi,Female,1,92.0,90.0,93.0,275,91.66666666666667,A
Rohan,Male,1,14.0,76.0,68.0,158,52.666666666666664,C
Myra,Male,4,24.0,75.0,92.0,191,63.666666666666664,C
Ananya,Female,3,7.0,52.0,13.0,72,24.0,F
Arjun,Male,12,28.0,9.0,23.0,60,20.0,F
Diya,Male,4,48.0,31.0,14.0,93,31.0,F
Aarav,Male,9,26.0,25.0,97.0,148,49.333333333333336,F
Vihaan,1,10,45.0,34.0,94.0,173,57.666666666666664,C
Arjun,1,7,11.0,16.0,43.0,70,23.333333333333332,F
Advika,1,5,76.0,57.0,37.0,170,56.666666666666664,C
Saanvi,Female,11,19.0,76.0,46.0,141,47.0,F
Zara,Male,12,90.0,34.0,54.0,178,59.333333333333336,C
Aarav,Male,12,80.0,27.0,79.0,186,62.0,C
Rohan,Female,8,60.0,62.0,92.0,214,71.33333333333333,C
Aditi,Female,6,76.0,63.0,87.0,226,75.33333333333333,B
Zara,Male,12,83.0,98.0,83.0,264,88.0,B
Ishaan,Male,3,33.0,47.0,52.0,132,44.0,F
Myra,Female,6,93.0,60.0,87.0,240,80.0,B
Advika,Male,8,86.0,16.0,86.0,188,62.666666666666664,C
Isha,Male,4,63.0,78.0,56.0,197,65.66666666666667,C
Ishaan,Female,4,41.0,61.0,69.0,171,57.0,C
Rohan,Male,9,37.0,46.0,36.0,119,39.666666666666664,F
Diya,Female,11,100.0,40.0,3.0,143,47.666666666666664,F
Aditi,Male,6,65.0,23.0,55.0,143,47.666666666666664,F
Vihaan,Female,11,90.0,50.0,67.0,207,69.0,C
Rohan,Female,1,63.0,55.0,31.0,149,49.666666666666664,F
Anika,Male,10,87.0,14.0,34.0,135,45.0,F
Kabir,1,4,99.0,13.0,84.0,196,65.33333333333333,C
Arjun,Female,11,71.0,37.0,99.0,207,69.0,C
Aditi,Female,6,42.0,17.0,33.0,92,30.666666666666668,F
Reyansh,Male,3,11.0,70.0,50.0,131,43.666666666666664,F
Kabir,Female,9,77.0,36.0,16.0,129,43.0,F
Myra,1,2,91.0,64.0,68.0,223,74.33333333333333,C
Krishna,Female,9,0.0,52.0,79.0,131,43.666666666666664,F
Navya,Male,2,49.0,34.0,95.0,178,59.333333333333336,C
Aarav,Male,7,21.0,10.0,47.0,78,26.0,F
Ishaan,Female,6,45.0,93.0,27.0,165,55.0,C
Ishaan,Male,8,56.0,28.0,73.0,157,52.333333333333336,C
Myra,1,12,87.0,41.0,31.0,159,53.0,C
Vihaan,Male,12,96.0,46.0,69.0,211,70.33333333333333,C
Anika,Male,9,11.0,81.0,37.0,129,43.0,F
Shaurya,Male,8,44.0,62.0,51.0,157,52.333333333333336,C
Diya,Male,5,16.0,96.0,5.0,117,39.0,F
Aryan,Male,8,78.0,59.0,4.0,141,47.0,F
Aditi,Female,4,5.0,97.0,79.0,181,60.333333333333336,C
Advika,Female,3,55.0,38.0,45.0,138,46.0,F
Arjun,Female,3,32.0,79.0,19.0,130,43.333333333333336,F
Anika,Male,6,32.0,9.0,63.0,104,34.666666666666664,F
Zara,Female,7,27.0,14.0,45.0,86,28.666666666666668,F
Isha,Male,4,79.0,84.0,39.0,202,67.33333333333333,C
Vihaan,Male,1,4.0,48.0,45.0,97,32.333333333333336,F
Aarav,Male,9,69.0,56.0,11.0,136,45.333333333333336,F
Reyansh,Female,5,74.0,60.0,18.0,152,50.666666666666664,C
Rohan,1,4,54.0,70.0,42.0,166,55.333333333333336,C
Ananya,Male,6,67.0,45.0,61.0,173,57.666666666666664,C
Aarav,1,8,99.0,79.0,44.0,222,74.0,C
Aditi,Male,3,14.0,15.0,74.0,103,34.333333333333336,F
Reyansh,Female,12,42.0,67.0,27.0,136,45.333333333333336,F
Zara,Male,11,63.0,66.0,86.0,215,71.66666666666667,C
Ananya,Male,2,55.0,77.0,3.0,135,45.0,F
Ananya,Male,6,68.0,45.0,75.0,188,62.666666666666664,C
Shaurya,Male,7,57.0,59.0,63.0,179,59.666666666666664,C
Shaurya,Male,10,16.0,78.0,47.0,141,47.0,F
Shaurya,Female,1,72.0,20.0,69.0,161,53.666666666666664,C
Vihaan,Male,7,25.0,99.0,8.0,132,44.0,F
Advika,Female,11,43.0,96.0,92.0,231,77.0,B
Arjun,Female,3,10.0,74.0,62.0,146,48.666666666666664,F
Saanvi,Male,2,26.0,37.0,63.0,126,42.0,F
Aryan,Male,7,59.0,19.0,63.0,141,47.0,F
Shaurya,Female,8,29.0,42.0,19.0,90,30.0,F
Anika,Female,4,15.0,60.0,41.0,116,38.666666666666664,F
Arjun,Female,7,67.0,58.0,15.0,140,46.666666666666664,F
Reyansh,Male,4,28.0,39.0,15.0,82,27.333333333333332,F
Myra,Female,12,95.0,98.0,46.0,239,79.66666666666667,B
Ishaan,Male,7,90.0,97.0,77.0,264,88.0,B
Myra,Female,1,20.0,37.0,17.0,74,24.666666666666668,F
Saanvi,Male,1,67.0,15.0,54.0,136,45.333333333333336,F
Krishna,Male,1,63.0,32.0,14.0,109,36.333333333333336,F
Krishna,Male,8,94.0,94.0,40.0,228,76.0,B
Saanvi,Male,9,80.0,98.0,79.0,257,85.66666666666667,B
Aryan,Female,5,78.0,2.0,35.0,115,38.333333333333336,F
Saanvi,Male,2,37.0,10.0,24.0,71,23.666666666666668,F
Shaurya,Male,12,50.0,53.0,34.0,137,45.666666666666664,F
Arjun,1,4,42.0,62.0,55.0,159,53.0,C
Diya,1,8,24.0,51.0,82.0,157,52.333333333333336,C
Anika,Male,9,4.0,80.0,64.0,148,49.333333333333336,F
Krishna,Male,9,31.0,21.0,89.0,141,47.0,F
Ishaan,Male,1,49.0,69.0,5.0,123,41.0,F
Zara,1,7,27.0,8.0,46.0,81,27.0,F
Diya,Female,6,72.0,2.0,44.0,118,39.333333333333336,F
Navya,Female,9,100.0,45.0,1.0,146,48.666666666666664,F
Myra,Female,4,57.0,13.0,20.0,90,30.0,F
Myra,Male,4,98.0,70.0,57.0,225,75.0,B
Ananya,Male,10,8.0,49.0,0.0,57,19.0,F
Arjun,Male,8,13.0,34.0,24.0,71,23.666666666666668,F
Isha,1,9,43.0,97.0,80.0,220,73.33333333333333,C
Anika,Male,5,34.0,50.0,76.0,160,53.333333333333336,C
Navya,Male,1,64.0,3.0,59.0,126,42.0,F
Vihaan,Female,2,58.0,50.0,41.0,149,49.666666666666664,F
Aarav,Female,10,55.0,92.0,94.0,241,80.33333333333333,B
Saanvi,Male,4,62.0,17.0,57.0,136,45.333333333333336,F
Ishaan,Female,8,25.0,98.0,48.0,171,57.0,C
Isha,Male,1,37.0,29.0,65.0,131,43.666666666666664,F
Arjun,Female,12,81.0,5.0,64.0,150,50.0,C
Aditi,Male,3,33.0,67.0,29.0,129,43.0,F
Ishaan,Female,8,42.0,4.0,21.0,67,22.333333333333332,F
Kabir,Male,2,71.0,38.0,20.0,129,43.0,F
Aryan,Male,12,95.0,72.0,69.0,236,78.66666666666667,B
Shaurya,Male,2,49.0,67.0,7.0,123,41.0,F
Aditi,Female,10,30.0,90.0,22.0,142,47.333333333333336,F
Navya,Female,12,48.0,35.0,76.0,159,53.0,C
Aditi,Male,10,25.0,90.0,99.0,214,71.33333333333333,C
Isha,Male,3,14.0,61.0,92.0,167,55.666666666666664,C
Anika,Male,2,98.0,88.0,38.0,224,74.66666666666667,C
Rohan,Female,5,91.0,63.0,9.0,163,54.333333333333336,C
Aarav,Female,5,51.0,61.0,43.0,155,51.666666666666664,C
Aarav,1,7,24.0,80.0,25.0,129,43.0,F
Diya,Male,9,51.0,57.0,7.0,115,38.333333333333336,F
Rohan,Female,8,63.0,67.0,9.0,139,46.333333333333336,F
Shaurya,Male,8,54.0,92.0,38.0,184,61.333333333333336,C
Zara,Male,5,45.0,72.0,56.0,173,57.666666666666664,C
Navya,1,7,94.0,86.0,79.0,259,86.33333333333333,B
Aarav,Female,1,18.0,40.0,58.0,116,38.666666666666664,F
Zara,Female,2,84.0,63.0,15.0,162,54.0,C
Diya,Male,10,23.0,38.0,47.0,108,36.0,F
Vihaan,Male,11,35.0,27.0,41.0,103,34.333333333333336,F
Arjun,Male,12,39.0,86.0,79.0,204,68.0,C
Myra,Male,12,49.0,1.0,41.0,91,30.333333333333332,F
Rohan,Male,11,85.0,11.0,17.0,113,37.666666666666664,F
Rohan,1,12,19.0,46.0,26.0,91,30.333333333333332,F
Ishaan,Male,11,31.0,29.0,12.0,72,24.0,F
Krishna,Female,9,31.0,68.0,72.0,171,57.0,C
Saanvi,Female,3,21.0,28.0,88.0,137,45.666666666666664,F
Diya,Male,10,40.0,30.0,37.0,107,35.666666666666664,F
Krishna,Female,6,21.0,61.0,60.0,142,47.333333333333336,F
Anika,Female,2,77.0,43.0,73.0,193,64.33333333333333,C
Aarav,Male,5,53.0,68.0,73.0,194,64.66666666666667,C
Myra,1,6,4.0,81.0,31.0,116,38.666666666666664,F
Ananya,Male,11,18.0,22.0,96.0,136,45.333333333333336,F
Arjun,1,5,13.0,12.0,17.0,42,14.0,F
Reyansh,Male,4,33.0,78.0,50.0,161,53.666666666666664,C
Rohan,Male,8,68.0,17.0,49.0,134,44.666666666666664,F
Navya,Female,12,11.0,82.0,37.0,130,43.333333333333336,F
Myra,Female,9,34.0,75.0,41.0,150,50.0,C
Arjun,Female,9,82.0,100.0,32.0,214,71.33333333333333,C
Vihaan,Male,5,55.0,20.0,26.0,101,33.666666666666664,F
Anika,Female,8,18.0,94.0,14.0,126,42.0,F
Rohan,Male,1,19.0,97.0,82.0,198,66.0,C
Rohan,Male,9,68.0,16.0,22.0,106,35.333333333333336,F
Aryan,Male,6,94.0,2.0,17.0,113,37.666666666666664,F
Aditi,Female,9,71.0,2.0,96.0,169,56.333333333333336,C
